B,D,base_avg_ms,local_avg_ms,speedup
16,4096,0.02954560028389096,0.019154239930212497,1.5425096684357542
32,5120,0.028079679999500513,0.019447359815239908,1.443881342571545
32,8192,0.027689599953591822,0.018158720228821038,1.5248651669649949
16,12288,0.027738560065627096,0.01860608031973243,1.4908330819258766
64,8192,0.027583039943128825,0.018412800207734108,1.498036128776483
AVG,-,0.02812729604914784,0.018755840100347997,1.499644884516818
