n,h,d,base_ms,old_ms,new_ms,speedup_old,speedup_new
512,32,256,0.06113472033292055,0.06305055875331163,0.051080639250576494,0.9696142515106505,1.1968276284293091
512,40,128,0.04487199995666742,0.03933663930743933,0.03434560015797615,1.1407176806835464,1.3064846661660883
768,32,256,0.08349375814199447,0.09263392142951489,0.07461152240633964,0.9013302778672156,1.119046434775604
768,40,128,0.05894720088690519,0.05474527977406979,0.04849824097007513,1.0767540348716174,1.2154502866047736
512,64,128,0.06135776001960039,0.057923200465738775,0.051996479146182537,1.0592950583918983,1.1800368222452065
AVG,-,-,0.0619610878676176,0.06153791994601489,0.052106496386229995,1.0295422606649856,1.2035691676441962
